character,universe,page_length
Abraham Dusk,Wildstorm Universe,360879
Accelerated Man,Earth 19,361310
Ahn Kwang-Jo,Prime Earth,390275
Alec Holland,Lego Batman,368585
Alec Holland,Prime Earth,401822
Alexander Fairchild,Wildstorm Universe,370234
Alexander Luthor,Smallville,440525
Alexander Staunton,Prime Earth,359330
Alexander Trent,New Earth,370103
Alonzo Malrey,New Earth,353685
Alton Carver,Prime Earth,361934
Andrew Pulaski,Prime Earth,373190
Anissa Pierce,Black Lightning TV Series,363693
Antiope,Tempest Tossed,383116
Apollo,Wildstorm Universe,388501
Aquaman,Arthur Curry,656008
Ares,Wonder Woman 2009 Movie,366030
Aristides Demetrios,New Earth,371933
Artemis,Wildstorm Universe,360833
Arthur Curry,DC Animated Movie Universe,417454
Asmodel,New Earth,374850
Aten,New Earth,347429
Atropos,Arrowverse,368080
August Heart,Arrowverse,365185
August Heart,Prime Earth,486705
Augustus Freeman,Dakotaverse,400393
Auron,New Earth,367113
Avery Ho,Future State,368405
Balam,Prime Earth,352874
Bane,DC Animated Movie Universe,371967
Bane,DCAU,377700
Bane,Harley Quinn TV Series,370536
Bane,Hero Run,355969
Bane,New Earth,439288
Bane,Prime Earth,428155
Bar Torr,Prime Earth,391473
Baron Reiter,Arrowverse,376564
Barry Allen,Arrowverse,444667
Barry Allen,Blackest Day,374353
Barry Allen,DC Animated Movie Universe,373229
Barry Allen,DC Extended Universe,380271
Barry Allen,DC Legends,373346
Barry Allen,DC Super Hero Girls TV Series,367848
Barry Allen,DC Super Hero Girls,360883
Barry Allen,DC Universe Online,365691
Barry Allen,DCAU,362848
Barry Allen,DCeased,376746
Barry Allen,Doom,368850
Barry Allen,Earth -12,362763
Barry Allen,Earth -22,365128
Barry Allen,Earth -44,364325
Barry Allen,Earth -52,364861
Barry Allen,Earth 43,364233
Barry Allen,Earth-149,366662
Barry Allen,Earth-21,373971
Barry Allen,Earth-31,367617
Barry Allen,Earth-32,369355
Barry Allen,Earth-3839,364887
Barry Allen,Earth-508,360462
Barry Allen,Earth-51,365165
Barry Allen,Flash 1990 TV Series,377955
Barry Allen,Flashpoint Paradox,375691
Barry Allen,Future State,391433
Barry Allen,Futures End,364992
Barry Allen,Harley Quinn TV Series,366209
Barry Allen,Hero Run,359952
Barry Allen,Injustice,426255
Barry Allen,Justice League Action,365964
Barry Allen,Lego Batman,371400
Barry Allen,Lego DC Heroes,364698
Barry Allen,Lil Gotham,366125
Barry Allen,Man of Tomorrow,370203
Barry Allen,Mortal Kombat vs. DC Universe,361912
Barry Allen,New Earth,523057
Barry Allen,Once and Future,367556
Barry Allen,The Batman TV Series,369739
Barry Allen,The Brave and the Bold,366358
Barry Allen,The Nail,363659
Barry Allen,The New Order,356791
Barry Allen,Tiny Titans,366198
Bart Allen,DC Universe Online,364750
Bart Allen,DCAU,366219
Bart Allen,DCeased,366088
Bart Allen,Earth-16,372258
Bart Allen,Earth-508,362006
Bart Allen,Future State,367739
Bart Allen,Injustice,365821
Bart Allen,Lego Batman,370151
Bart Allen,New Earth,547227
Bart Allen,Prime Earth,406106
Bart Allen,Smallville,389429
Bart Allen,Titans Tomorrow,366748
Bart Allen,World Without Young Justice,367457
Bart Allen clone,Titans Tomorrow,390666
Bekka,Gods and Monsters,376784
Bekka,New Earth,363824
Benjamin Orchard,Prime Earth,357022
Bertok-Raaf,Prime Earth,359528
Bigby Wolf,Fables,384441
Bilbat,Earth-S,365177
Billy Batson,DC Animated Movie Universe,374551
Billy Batson,DC Extended Universe,383270
Billy Batson,DCAU,385440
Billy Batson,Earth 5,378572
Billy Batson,Earth-16,377752
Billy Batson,Earth-21,362757
Billy Batson,Earth-22,380439
Billy Batson,Earth-31,374237
Billy Batson,Earth-5,382055
Billy Batson,Earth-S,399526
Billy Batson,Futures End,374541
Billy Batson,Justice,369360
Billy Batson,Legends of the Superheroes,369979
Billy Batson,Magic of Shazam,374615
Billy Batson,Mortal Kombat vs. DC Universe,378649
Billy Batson,New Earth,409286
Billy Batson,Return of Black Adam,367363
Billy Batson,Shazam!/Isis Hour,366273
Billy Batson,The Brave and the Bold,381726
Billy Batson,Tiny Titans,370732
Bleez,Prime Earth,400190
Bonny Hoffman,Prime Earth,357932
Brain InterActive Construct,Smallville,418527
Brainiac 8,New Earth,389150
Branca,New Earth,359818
Brion Markov,New Earth,402306
Bryan Mallory,Legends of the Dead Earth,359466
Bryce Wayne,Earth -11,402049
Buffy Sanders,Smallville,358105
Cain,Lucifer TV Series,360420
Caitlin Snow,Arrowverse,387205
Caleb Green,Arrowverse,359248
Calvin Rose,Prime Earth,378587
Captain Swift,Earth-Twelve,359871
Carmen Leno,Prime Earth,357502
Carrie Allen,Earth-3839,364528
Carter Hall,DC Universe Online,377551
Carter Hall,New Earth,424673
Carter Hall,Prime Earth,402198
Cassandra Sandsmark,Prime Earth,459255
Caveman Flash,Prime Earth,359309
CeCe Beck,Post-Zero Hour,373971
Charlotte Gage-Radcliffe,New Earth,389664
Cherub,New Earth,364268
Choronzon,New Earth,355076
Cinderella,Fables,356359
Clotho,Arrowverse,372228
Cole Cash,Wildstorm Universe,415176
Colin Wilkes,New Earth,355944
Composite Swamp Thing,Prime Earth,363528
Condor,Prime Earth,362334
Corum Rath,Prime Earth,403231
Cyrus Gold,Arkhamverse,363277
Daemonites,Daemonite,386355
Damian Wayne,Batman in Bethlehem,394811
Damien Darhk,Arrowverse,403472
Danica Williams,DCAU,366949
Daniel Cassidy,DCAU,360733
Daniel Cassidy,DCeased,359915
